Timestamp,CO2,Finedust,Humidity,Temperature,Lightpower,Fanpower,Roompower,Result
2022-08-08 3:00,957.28,4.43,54.69,25.59,13.39,10.63,103.46,0
2022-08-08 4:00,962.19,4.83,52.73,25.6,13.41,7.06,109.63,0
2022-08-08 5:00,931.06,4.35,55.4,25.6,13.66,14.9,119.47,0
2022-08-08 6:00,909.52,3.75,53.66,25.6,13.43,10.62,111.53,0
2022-08-08 7:00,903.06,3.21,53,25.6,13.46,16.21,107.63,0
2022-08-08 8:00,931.35,5.18,53.62,25.58,13.48,10.47,106.59,0
2022-08-08 9:00,1028.93,7.69,54.51,25.75,18.39,26.93,135.17,0
2022-08-08 10:00,1027.9,9.03,58.44,25.77,24.75,20.71,140.16,0
2022-08-08 11:00,784.02,5.53,54.57,25.63,13.3,18.64,108.54,0
2022-08-08 12:00,714.34,4.34,52.94,25.6,13.37,6.39,108.72,0
2022-08-08 13:00,657.62,3.45,52.18,25.6,13.48,6.34,114.78,0
2022-08-08 14:00,655.91,2.97,52.03,25.6,13.38,6.06,111.46,0
2022-08-08 15:00,623.41,2.57,54.27,25.59,13.33,8.27,104.98,0
2022-08-08 16:00,596.2,2.4,52.37,25.58,13.41,11.37,82.23,0
2022-08-08 17:00,598.05,2.73,55.29,25.24,13.35,14.11,46.76,0
2022-08-08 18:00,578.28,3.07,55.9,24.88,13.4,9.1,72.07,0
2022-08-08 19:00,575.56,2.6,55.3,25.05,13.45,3.76,108.12,0
2022-08-08 20:00,578.38,2.69,54.07,25.36,13.42,4.66,107.37,0
2022-08-08 21:00,595.15,2.64,53.89,25.5,13.44,9.42,115.69,0
2022-08-08 22:00,594.7,2.4,56.06,25.51,13.37,4.31,110.25,0
2022-08-08 23:00,633.77,2.48,54.09,25.57,13.27,7.43,111.03,0
2022-08-09 0:00,707.97,3,56.13,25.61,24.68,4.63,123.31,0
2022-08-09 1:00,885.92,6.6,56.27,25.7,22.85,14.98,185.73,0
2022-08-09 2:00,950.53,4.34,55.89,25.71,11.23,21.56,172.07,0
2022-08-09 3:00,953.23,2.85,57.76,25.63,11.19,22.68,163.11,0
2022-08-09 4:00,992.63,2.86,55.98,25.64,11.08,11.97,158.56,0
2022-08-09 5:00,1008.41,2.73,57.78,25.67,11.27,26.54,174.33,0
2022-08-09 6:00,1019.18,2.69,57.34,25.66,11.15,20.04,157.7,0
2022-08-09 7:00,1145.7,11.57,62.11,25.55,32.56,22.77,190.29,0
2022-08-09 8:00,1167.77,9.52,59.93,25.61,13.35,4.99,114.5,0
2022-08-09 9:00,1143.34,6.03,57.95,25.6,13.33,11.65,102.08,0
2022-08-09 10:00,1115.66,4.29,60.6,25.56,13.35,13.85,121.74,0
2022-08-09 11:00,1103.62,4.08,57.07,25.58,13.34,2.2,110.49,0
2022-08-09 12:00,1020.87,4.18,56.02,25.6,13.38,4.43,98.12,0
2022-08-09 13:00,758.66,3.39,55.17,25.6,13.41,9.28,112.61,0
2022-08-09 14:00,653,3.8,55.14,25.59,13.43,8.77,112.74,0
2022-08-09 15:00,741.77,9.85,58.89,25.7,20.83,13.24,141.56,0
2022-08-09 16:00,774.47,7.17,55.03,25.7,13.23,5.33,73.09,0
2022-08-09 17:00,733.33,4.71,56.99,25.27,13.34,14.96,46.5,0
2022-08-09 18:00,620.68,3.35,57.55,24.9,13.36,10.91,81,0
2022-08-09 19:00,537.5,3.44,56.27,25.01,13.33,9.22,107.39,0
2022-08-09 20:00,466.03,3.1,55.22,25.37,13.41,6.95,107.29,0
2022-08-09 21:00,428.4,5.78,57.2,25.49,13.5,10.55,110.91,0
2022-08-09 22:00,378.3,9.59,58.89,25.52,13.38,8,106,0
2022-08-09 23:00,306.62,10.37,58.02,25.6,13.33,4.41,121.3,0
2022-08-10 0:00,245.05,10.75,59.76,25.6,13.41,5.72,109.25,0
2022-08-10 1:00,210.83,12.17,59.01,25.61,13.32,10.74,108.1,0
2022-08-10 2:00,190.22,11.69,59.2,25.68,13.41,7.03,114.89,0
2022-08-10 3:00,168.15,11.34,60.51,25.7,13.4,4.83,114.92,0
2022-08-10 4:00,184.27,13.75,59.85,25.7,13.47,7.07,105,0
2022-08-10 5:00,206.38,16.2,60.51,25.7,13.43,3.64,118.19,0
2022-08-10 6:00,219.85,16.87,60.4,25.7,13.32,0.13,106.74,0
2022-08-10 7:00,241.13,17.65,60.27,25.7,13.3,3.91,101.36,0
2022-08-10 8:00,261.7,14.79,60.26,25.7,13.38,7.63,96.85,0
2022-08-10 9:00,278.7,11.26,60.01,25.7,13.32,6.41,119.23,0
2022-08-10 10:00,304.1,7.45,61.01,25.68,13.44,14.69,102.11,0
2022-08-10 11:00,330.38,4.79,56.81,25.65,13.34,8.48,106.73,0
2022-08-10 12:00,384.95,4.29,54.71,25.6,13.47,14.52,109.83,0
2022-08-10 13:00,436.48,3.46,54.1,25.6,13.34,11.89,108.83,0
2022-08-10 14:00,446.29,3.21,53.88,25.56,13.4,14.26,114.85,0
2022-08-10 15:00,429.08,3.23,58.38,25.56,13.34,11.79,106.84,0
2022-08-10 16:00,434.83,3.89,57.32,25.56,13.34,8.35,74.73,0
2022-08-10 17:00,402.15,3.81,59.01,25.29,13.41,12.97,54.06,0
2022-08-10 18:00,365.41,3.65,60.67,24.94,13.43,12.08,80.74,0
2022-08-10 19:00,343.91,3.89,58.91,25.11,13.37,6.3,110.13,0
2022-08-10 20:00,326.33,4.03,57.07,25.48,13.35,7.38,102.9,0
2022-08-10 21:00,307.88,4.29,57.1,25.6,13.37,10.06,110.6,0
2022-08-10 22:00,523.06,4.71,56.92,25.66,13.4,5.8,110.11,0
2022-08-10 23:00,507.61,4.33,57.5,25.7,13.4,8,107.78,0
2022-08-11 0:00,510.29,4.43,57.5,25.73,13.36,5.51,104.14,0
2022-08-11 1:00,514.97,5.53,58.48,25.77,13.41,4.55,106.34,0
2022-08-11 2:00,526.27,5.27,58.62,25.76,13.36,4.3,99.24,0
2022-08-11 3:00,561.6,31.61,59.36,25.73,13.49,12.45,120.02,0
2022-08-11 4:00,596.13,32.63,58.83,25.75,13.43,7.42,110.04,0
2022-08-11 5:00,615.29,21.74,62.73,25.86,13.52,12.96,119.29,0
2022-08-11 6:00,609.71,8.28,68.04,25.76,13.83,33.39,136.29,0
2022-08-11 7:00,634.06,6.67,60.54,25.7,13.41,7.49,95.14,0
2022-08-11 8:00,620.84,7.03,59.61,25.7,13.44,6.45,98.61,0
2022-08-11 9:00,635.8,7.15,59.54,25.7,13.32,5.37,112.9,0
2022-08-11 10:00,711.81,6.4,60.17,25.67,13.4,1.73,111.15,0
2022-08-11 11:00,771.97,6.3,58.57,25.68,13.33,4.3,97.63,0
2022-08-11 12:00,794.39,6.21,57.36,25.63,13.38,6.01,106.77,0
2022-08-11 13:00,802.05,5.71,56.63,25.6,13.34,8.4,105.95,0
2022-08-11 14:00,794.48,5.38,55.83,25.6,13.31,7.22,121.56,0
2022-08-11 15:00,791.41,4.3,56.48,25.6,13.33,5.24,106.97,0
2022-08-11 16:00,814.6,3.52,54.84,25.58,13.43,9.74,81.36,0
2022-08-11 17:00,792.62,3.59,57.24,25.18,13.45,6.13,48.33,0
2022-08-11 18:00,758.69,3.38,57.37,24.86,13.32,3.59,70.09,0
2022-08-11 19:00,749.3,4.08,56.71,24.93,13.33,5.16,99.56,0
2022-08-11 20:00,753.84,4.53,55.61,25.35,13.37,5.38,107.41,0
2022-08-11 21:00,746.69,5.03,55.45,25.45,13.44,7.23,107.85,0
2022-08-11 22:00,730.84,4.68,57.16,25.51,13.35,4,97.89,0
2022-08-11 23:00,726.18,4.44,58.63,25.67,13.41,10.38,119.3,0
2022-08-12 0:00,688.05,3.85,59.05,25.69,13.31,1.7,104.1,0
2022-08-12 1:00,655.76,3.65,58.39,25.75,13.41,6.03,110.11,0
2022-08-12 2:00,634.54,3.53,58.73,25.76,13.45,5.96,109.07,0
2022-08-12 3:00,614.83,3.37,58.64,25.73,13.42,8.01,114.21,0
2022-08-12 4:00,620.58,3.63,59.17,25.82,13.45,10.08,113.27,0
2022-08-12 5:00,639.56,3.42,60.13,25.74,13.45,10.01,111.06,0
2022-08-12 6:00,670.26,3.51,58.44,25.7,13.38,6.3,105.46,0
2022-08-12 7:00,708.15,4,57.9,25.7,13.35,4.2,97.64,0
2022-08-12 8:00,772.37,4.24,57.75,25.68,13.3,6.23,107.85,0
2022-08-12 9:00,878.11,4.67,57.41,25.68,14.92,15.61,106.29,0
2022-08-12 10:00,946.18,4.36,59.3,25.62,13.45,15.98,126.88,0
2022-08-12 11:00,976.5,4.68,55.35,25.6,13.43,17.99,102.06,0
2022-08-12 12:00,983.29,4.29,53.41,25.6,13.5,16.53,104.43,0
2022-08-12 13:00,987.74,3.92,52.6,25.56,13.42,12.65,110.61,0
2022-08-12 14:00,976.38,3.97,52.78,25.53,13.47,11.22,109.62,0
2022-08-12 15:00,949.79,4.32,54.84,25.5,13.38,16.81,120.48,0
2022-08-12 16:00,927.64,4.86,53.19,25.5,13.36,13.59,72.36,0
2022-08-12 17:00,905,4.89,56.9,25.17,13.5,20.98,55.85,0
2022-08-12 18:00,866.11,5,56.54,24.82,13.32,9.55,77.78,0
2022-08-12 19:00,823,4.98,55.13,24.98,13.43,6.57,110.77,0
2022-08-12 20:00,795.46,4.8,53.46,25.28,13.44,8.82,110.8,0
2022-08-12 21:00,755.15,4.66,52.81,25.42,13.49,15.4,114.37,0
2022-08-12 22:00,719.39,4.78,55.02,25.5,13.55,17.77,102.18,0
2022-08-12 23:00,774.3,5.09,53.24,25.51,13.42,6.57,112.35,0
2022-08-13 0:00,866.91,5.55,54.17,25.58,13.51,15.13,111.03,0
2022-08-13 1:00,956.66,5.63,54.52,25.6,13.39,3.29,115.63,0
2022-08-13 2:00,934.66,6.92,54,25.6,13.39,6.81,112.42,0
2022-08-13 3:00,885.24,7.59,55.66,25.6,13.41,10.04,96.71,0
2022-08-13 4:00,894.23,7.5,54.39,25.6,13.47,5.93,111.14,0
2022-08-13 5:00,812.87,8.08,56.3,25.6,13.46,12.37,105.61,0
2022-08-13 6:00,807.47,7.87,55.28,25.6,13.39,7.74,111.48,0
2022-08-13 7:00,800.4,7.62,54.27,25.6,13.39,7.01,115.4,0
2022-08-13 8:00,802.31,7.6,54.02,25.6,13.45,10.86,113.76,0
2022-08-13 9:00,832.51,7.13,54.6,25.6,13.44,7.25,107.54,0
2022-08-13 10:00,880.29,6.36,56.76,25.6,13.47,11.66,111.78,0
2022-08-13 11:00,921.91,6.17,54.85,25.6,13.37,16.83,103.13,0
2022-08-13 12:00,910.49,6,55,25.6,13.39,13.15,119.05,0
2022-08-13 13:00,757.12,6.58,55.36,25.6,13.33,7.18,116.26,0
2022-08-13 14:00,697.36,7.03,55.8,25.6,13.51,7.57,100.46,0
2022-08-13 15:00,671.28,7.24,57.77,25.6,13.41,5.29,98.77,0
2022-08-13 16:00,648.61,7.08,56.29,25.58,13.38,5.82,76.03,0
2022-08-13 17:00,728.69,5.59,58.67,25.18,13.43,16.79,48.65,0
2022-08-13 18:00,904.59,4.53,58.01,24.86,13.38,12.29,85.79,0
2022-08-13 19:00,1035.06,3.76,56.17,24.97,13.35,8.71,108.83,0
2022-08-13 20:00,1099.39,3.49,54.35,25.33,13.36,2.69,105.53,0
2022-08-13 21:00,1166.76,3.46,54.7,25.45,13.5,5.82,112.87,0
2022-08-13 22:00,1222.09,3.24,55.48,25.5,13.46,3.97,108.59,0
2022-08-13 23:00,1350.12,3.19,54.41,25.55,13.32,12.98,112.69,0
2022-08-14 0:00,1443.91,3.5,56.82,25.6,13.4,11.8,116.3,0
2022-08-14 1:00,1438.85,3.8,54.95,25.6,13.39,4.35,110.5,0
2022-08-14 2:00,1424.94,4.45,54.44,25.6,13.42,7.74,111.73,0
2022-08-14 3:00,1398.17,4.28,55.94,25.6,13.39,8.3,113.5,0
2022-08-14 4:00,1438.85,4.23,54.64,25.6,13.35,6.14,107.92,0
2022-08-14 5:00,1398.31,4.28,55.63,25.6,13.41,10.48,118.03,0
2022-08-14 6:00,1353.45,4.89,56.02,25.61,13.47,3.93,100.39,0
2022-08-14 7:00,1364.58,5,55.4,25.61,13.38,4.81,119.69,0
2022-08-14 8:00,1374.84,5.06,55.34,25.6,13.42,3.24,110.81,0
2022-08-14 9:00,1404.07,5.64,56.23,25.6,13.46,14.37,126.18,0
2022-08-14 10:00,1447.81,5.43,58.57,25.6,13.43,13.18,113.21,0
2022-08-14 11:00,1562.85,5.44,55.46,25.6,13.42,7.43,115.33,0
2022-08-14 12:00,1658.87,5.64,54.11,25.6,13.45,11.13,115.96,0
2022-08-14 13:00,1626.89,5.25,53.68,25.6,13.36,10.13,112.15,0
2022-08-14 14:00,1517.9,5.68,54.07,25.6,13.54,19.17,115.92,0
2022-08-14 15:00,1418.61,4.92,56.32,25.54,13.62,11.41,120.57,0
2022-08-14 16:00,1348.91,4.74,53.38,25.54,13.5,6.51,84.4,0
2022-08-14 17:00,1303.9,5.75,55.97,25.14,13.58,10.6,57.14,0
2022-08-14 18:00,1254.53,26.33,57.28,24.8,13.36,7.82,73.87,0
2022-08-14 19:00,1206.28,29.17,56.58,24.95,13.43,12.6,118.13,0
2022-08-14 20:00,1161.07,32.55,55.29,25.36,13.3,6.11,121.23,0
2022-08-14 21:00,1148.52,24.29,55.46,25.46,13.38,19.48,114.92,0
2022-08-14 22:00,1176.82,13.77,57.1,25.5,13.48,10.55,109.67,0
2022-08-14 23:00,1256.46,8.78,54.49,25.55,13.41,7.47,119.76,0
2022-08-15 0:00,1353.04,17.72,56.63,25.58,13.52,15.5,112.8,0
