time,GD-201,GD-202,PT-201,TEMP,Chiller No. 1 Dispenser COOLER,Chiller No. 2 Dispenser COOLER,GD-203,T.T1-1A,P.T1-1A,T.T2-1A,P.T2-1A,T.T1A(OIL),GD-204,T.T1-1B,P.T1-1B,T.T2-1B,P.T2-1B,T.T1B(OIL),PT-202,PT-204,PT-203,PT-205,GD-205,GD-206
10:37:34,0,0,11.49,21,5,-38,0,22,6.6,21,50.4,19,3,21,8.4,27,52,31,66,44.76,86.06,86.5,0,0
10:37:35,0,0,11.49,21,5,-38,0,22,6.6,21,50.4,19,3,21,8.4,27,52,31,44.59,76,86.06,86.5,0,0
10:37:36,0,0,11.49,21,5,-38,0,22,6.6,21,50.3,19,3,21,8.4,27,52,31,44.6,44.78,110,86.48,0,0
10:37:37,0,0,11.49,21,5,-38,0,22,6.6,21,50.3,19,3,21,8.4,27,52,31,44.6,44.78,86.1,130,0,0
10:37:38,0,0,18,21,5,-38,0,22,6.6,21,50.4,19,3,21,8.4,27,52.1,31,44.62,44.76,86.11,86.51,0,0
10:37:39,0,0,11.47,21,5,-38,0,22,15,21,50.4,19,3,21,8.4,27,52.1,31,44.62,44.76,86.11,86.51,0,0
10:37:40,0,0,11.44,21,5,-38,0,22,6.6,22,77,19,3,21,8.3,27,52,31,44.54,44.72,86.01,86.39,0,0
10:37:41,0,0,11.44,21,5,-38,0,22,6.6,22,50.3,19,3,21,34,27,52,31,44.54,44.72,86.01,86.39,0,0
10:37:42,0,0,11.45,21,5,-38,0,22,6.6,22,50.3,19,3,21,8.3,27,75,31,44.54,44.72,86.01,86.39,0,0
10:37:43,0,0,11.45,21,5,-38,0,22,6.6,22,50.4,19,3,21,8.4,27,52.1,31,78,44.71,86.08,86.38,0,0
10:37:44,0,0,11.45,21,5,-38,0,22,6.6,22,50.4,19,3,21,8.4,27,52.1,31,44.59,97,86.08,86.38,0,0
10:37:45,0,0,11.46,21,5,-38,0,22,6.6,22,50.3,19,3,21,8.4,28,52,31,44.55,44.7,100,86.5,0,0
10:37:46,0,0,11.46,21,5,-38,0,22,6.6,22,50.3,19,3,21,8.4,28,52,31,44.55,44.7,86.08,100,0,0
10:37:47,0,0,23,21,5,-38,0,22,6.6,22,50.3,19,3,21,8.4,28,52.1,31,44.7,44.81,86.19,86.53,0,0
10:37:48,0,0,11.51,21,5,-38,0,22,33,22,89,19,3,21,32,28,52.1,31,44.7,44.81,86.19,86.53,0,0
10:37:49,0,0,11.47,21,5,-38,0,22,6.6,22,50.4,19,3,21,8.4,27,77,31,44.56,44.7,86.03,86.43,0,0
10:37:50,0,0,11.47,21,5,-38,0,22,6.6,22,50.4,19,3,21,8.4,27,52.1,31,77,44.7,86.03,86.43,0,0
10:37:51,0,0,11.51,21,5,-38,0,22,6.6,22,50.4,19,3,21,8.4,28,52.1,31,44.67,78,86.12,86.49,0,0
10:37:52,0,0,11.51,21,5,-38,0,22,6.6,22,50.4,19,3,21,8.4,28,52.1,31,44.67,44.77,110,86.49,0,0
10:37:53,0,0,11.49,21,5,-38,0,22,6.6,22,50.4,19,3,21,8.4,28,52.1,31,44.57,44.79,86.03,100,0,0
10:37:54,0,0,16,21,5,-38,0,22,6.6,22,50.4,19,3,21,8.4,28,52.1,31,44.57,44.79,86.03,86.47,0,0
10:37:55,0,0,11.48,21,5,-38,0,22,32,21,50.4,19,3,21,8.4,27,52,31,44.59,44.73,86.08,86.41,0,0
