년월일,호기,총량(kw),평균(kw),최대(kw),최소(kw),최대(시간별_kw),최소(시간별_kw),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2020-01-13,4,11293.2,471,1949.4,0,1949.4,7.2,0,0,0,0,0,0,0,10.8,320.4,1067.4,1593,1873.8,1949.4,1852.2,1539,937.8,142.2,7.2,0,0,0,0,0,0
2020-01-14,1,4348.08,181,749.52,0,749.52,2.16,0,0,0,0,0,0,0,2.16,63.36,390.24,619.2,725.04,749.52,696.96,601.92,385.92,108.72,5.04,0,0,0,0,0,0
2020-01-14,2,4379.76,182,771.12,0,771.12,2.16,0,0,0,0,0,0,0,2.16,92.16,407.52,611.28,740.88,771.12,730.8,599.04,327.6,93.6,3.6,0,0,0,0,0,0
2020-01-14,3,7630.2,318,1456.2,0,1456.2,3.6,0,0,0,0,0,0,0,3.6,82.8,356.4,1161,1386,1456.2,1355.4,1148.4,565.2,108,7.2,0,0,0,0,0,0
2020-01-14,4,10967.4,457,1935,0,1935,5.4,0,0,0,0,0,0,0,5.4,201.6,1011.6,1560.6,1857.6,1935,1798.2,1512,903.6,172.8,9,0,0,0,0,0,0
2020-01-15,1,4570.56,190,774,0,774,1.44,0,0,0,0,0,0,0,1.44,84.24,434.88,657.36,751.68,774,719.28,599.04,408.24,134.64,5.76,0,0,0,0,0,0
2020-01-15,2,4537.44,189,789.84,0,789.84,3.6,0,0,0,0,0,0,0,3.6,155.52,403.2,647.28,751.68,789.84,747.36,594,337.68,103.68,3.6,0,0,0,0,0,0
2020-01-15,3,7871.4,328,1494,0,1494,5.4,0,0,0,0,0,0,0,5.4,88.2,376.2,1234.8,1443.6,1494,1402.2,1159.2,590.4,72,5.4,0,0,0,0,0,0
2020-01-15,4,11529,480,1978.2,0,1978.2,7.2,0,0,0,0,0,0,0,9,333,1139.4,1643.4,1915.2,1978.2,1859.4,1526.4,964.8,153,7.2,0,0,0,0,0,0
2020-01-16,1,3749.76,156,706.32,0,706.32,5.04,0,0,0,0,0,0,0,0,65.52,249.84,469.44,606.24,544.32,706.32,601.92,354.24,146.88,5.04,0,0,0,0,0,0
2020-01-16,2,3763.44,157,740.88,0,740.88,1.44,0,0,0,0,0,0,0,1.44,66.96,260.64,465.12,615.6,572.4,740.88,606.24,306.72,123.84,3.6,0,0,0,0,0,0
2020-01-16,3,6766.2,282,1371.6,0,1371.6,1.8,0,0,0,0,0,0,0,1.8,120.6,374.4,876.6,1144.8,1020.6,1371.6,1161,563.4,124.2,7.2,0,0,0,0,0,0
2020-01-16,4,9315,388,1832.4,0,1832.4,3.6,0,0,0,0,0,0,0,3.6,167.4,635.4,1161,1533.6,1398.6,1832.4,1539,820.8,214.2,9,0,0,0,0,0,0
2020-01-17,1,2414.88,101,454.32,0,454.32,1.44,0,0,0,0,0,0,0,1.44,77.04,332.64,454.32,308.88,378,270.72,231.84,278.64,74.88,6.48,0,0,0,0,0,0
2020-01-17,2,2330.64,97,462.96,0,462.96,1.44,0,0,0,0,0,0,0,1.44,91.44,349.92,462.96,288,377.28,254.88,218.16,220.32,61.2,5.04,0,0,0,0,0,0
2020-01-17,3,4102.2,171,846,0,846,3.6,0,0,0,0,0,0,0,3.6,118.8,401.4,846,558,610.2,532.8,444.6,469.8,106.2,10.8,0,0,0,0,0,0
2020-01-17,4,5725.8,239,1141.2,0,1141.2,5.4,0,0,0,0,0,0,0,5.4,203.4,846,1141.2,709.2,855,709.2,540,559.8,144,12.6,0,0,0,0,0,0
2020-01-18,1,1185.84,49,272.88,0,272.88,14.4,0,0,0,0,0,0,0,0,14.4,68.4,125.28,144.72,192.24,147.6,90.72,272.88,115.2,14.4,0,0,0,0,0,0
2020-01-18,2,1193.04,50,241.2,0,241.2,12.24,0,0,0,0,0,0,0,0,19.44,73.44,130.32,155.52,205.2,154.8,80.64,241.2,120.24,12.24,0,0,0,0,0,0
2020-01-18,3,2176.2,91,388.8,0,388.8,34.2,0,0,0,0,0,0,0,0,41.4,147.6,259.2,270,361.8,277.2,180,388.8,216,34.2,0,0,0,0,0,0
2020-01-18,4,2867.4,119,576,0,576,36,0,0,0,0,0,0,0,0,52.2,189,342,392.4,475.2,358.2,208.8,576,237.6,36,0,0,0,0,0,0
2020-01-19,1,2331.36,97,587.52,0,587.52,2.16,0,0,0,0,0,0,0,0,9.36,60.48,563.04,587.52,272.16,254.88,245.52,290.88,45.36,2.16,0,0,0,0,0,0
2020-01-19,2,2252.88,94,583.92,0,583.92,1.44,0,0,0,0,0,0,0,0,11.52,59.04,578.16,583.92,230.4,218.16,246.96,285.12,38.16,1.44,0,0,0,0,0,0
2020-01-19,3,4714.2,196,1139.4,0,1139.4,7.2,0,0,0,0,0,0,0,0,25.2,113.4,1083.6,1139.4,561.6,565.2,541.8,565.2,111.6,7.2,0,0,0,0,0,0
2020-01-19,4,6159.6,257,1510.2,0,1510.2,7.2,0,0,0,0,0,0,0,0,36,149.4,1459.8,1510.2,691.2,684,718.2,763.2,140.4,7.2,0,0,0,0,0,0
2020-01-20,1,3762,157,756,0,756,2.16,0,0,0,0,0,0,0,2.16,66.24,234.72,373.68,447.12,756,705.6,612.72,419.04,136.08,8.64,0,0,0,0,0,0
